t,ds,y
302,2017-02-01,41.625
303,2018-02-01,42.035714285714285
304,2019-02-01,36.214285714285715
305,2020-02-01,40.12068965517241
306,2021-02-01,34.160714285714285
307,2022-02-01,37.32142857142857
308,1869-03-01,35.403225806451616
309,1870-03-01,34.564516129032256
310,1871-03-01,44.08064516129032
311,1872-03-01,30.919354838709676
312,1873-03-01,35.645161290322584
313,1874-03-01,37.064516129032256
314,1875-03-01,34.483870967741936
315,1876-03-01,34.645161290322584
316,1877-03-01,36.08064516129032
317,1878-03-01,44.193548387096776
318,1879-03-01,39.83870967741935
319,1880-03-01,36.693548387096776
320,1881-03-01,36.83870967741935
321,1882-03-01,40.096774193548384
322,1883-03-01,32.46774193548387
323,1884-03-01,36.983870967741936
324,1885-03-01,30.14516129032258
325,1886-03-01,37.82258064516129
326,1887-03-01,32.096774193548384
327,1888-03-01,29.919354838709676
328,1889-03-01,39.96774193548387
329,1890-03-01,35.645161290322584
330,1891-03-01,36.33870967741935
331,1892-03-01,34.5
332,1893-03-01,35.403225806451616
333,1894-03-01,42.95161290322581
334,1895-03-01,35.53225806451613
335,1896-03-01,32.725806451612904
336,1897-03-01,40.903225806451616
337,1898-03-01,46.145161290322584
338,1899-03-01,38.306451612903224
339,1900-03-01,33.516129032258064
340,1901-03-01,38.354838709677416
341,1902-03-01,44.5
342,1903-03-01,48.225806451612904
343,1904-03-01,36.20967741935484
344,1905-03-01,40.41935483870968
345,1906-03-01,35.79032258064516
346,1907-03-01,42.596774193548384
347,1908-03-01,41.096774193548384
348,1909-03-01,38.225806451612904
349,1910-03-01,43.596774193548384
350,1911-03-01,34.82258064516129
351,1912-03-01,37.54838709677419
352,1913-03-01,44.806451612903224
353,1914-03-01,36.45161290322581
354,1915-03-01,36.74193548387097
355,1916-03-01,32.354838709677416
356,1917-03-01,39.24193548387097
357,1918-03-01,42.08064516129032
358,1919-03-01,43.24193548387097
359,1920-03-01,39.903225806451616
360,1921-03-01,48.37096774193548
361,1922-03-01,40.983870967741936
362,1923-03-01,36.774193548387096
363,1924-03-01,39.12903225806452
364,1925-03-01,44.16129032258065
365,1926-03-01,35.693548387096776
366,1927-03-01,42.983870967741936
367,1928-03-01,38.774193548387096
368,1929-03-01,45.096774193548384
369,1930-03-01,40.24193548387097
370,1931-03-01,40.306451612903224
371,1932-03-01,37.33870967741935
372,1933-03-01,38.32258064516129
373,1934-03-01,37.29032258064516
374,1935-03-01,43.38709677419355
375,1936-03-01,45.16129032258065
376,1937-03-01,36.483870967741936
377,1938-03-01,44.145161290322584
378,1939-03-01,39.17741935483871
379,1940-03-01,35.11290322580645
380,1941-03-01,36.08064516129032
381,1942-03-01,42.96774193548387
382,1943-03-01,40.17741935483871
383,1944-03-01,37.596774193548384
384,1945-03-01,51.096774193548384
385,1946-03-01,49.82258064516129
386,1947-03-01,37.79032258064516
387,1948-03-01,42.03225806451613
388,1949-03-01,42.83870967741935
389,1950-03-01,36.32258064516129
390,1951-03-01,41.53225806451613
391,1952-03-01,40.20967741935484
392,1953-03-01,43.37096774193548
393,1954-03-01,41.53225806451613
394,1955-03-01,41.66129032258065
395,1956-03-01,37.37096774193548
396,1957-03-01,41.903225806451616
397,1958-03-01,40.225806451612904
398,1959-03-01,40.08064516129032
399,1960-03-01,33.354838709677416
400,1961-03-01,41.516129032258064
401,1962-03-01,43.04838709677419
402,1963-03-01,43.66129032258065
403,1964-03-01,43.12903225806452
404,1965-03-01,39.983870967741936
405,1966-03-01,42.645161290322584
406,1967-03-01,37.516129032258064
407,1968-03-01,43.25806451612903
408,1969-03-01,40.03225806451613
409,1970-03-01,38.66129032258065
410,1971-03-01,40.096774193548384
411,1972-03-01,39.74193548387097
412,1973-03-01,46.37096774193548
413,1974-03-01,42.04838709677419
414,1975-03-01,40.11290322580645
415,1976-03-01,44.403225806451616
416,1977-03-01,46.725806451612904
417,1978-03-01,39.0
418,1979-03-01,46.854838709677416
419,1980-03-01,41.17741935483871
420,1981-03-01,42.20967741935484
421,1982-03-01,41.87096774193548
422,1983-03-01,43.96774193548387
423,1984-03-01,36.66129032258065
424,1985-03-01,45.75806451612903
425,1986-03-01,45.064516129032256
426,1987-03-01,45.12903225806452
427,1988-03-01,43.58064516129032
428,1989-03-01,42.37096774193548
429,1990-03-01,45.064516129032256
430,1991-03-01,44.61290322580645
431,1992-03-01,39.983870967741936
432,1993-03-01,39.645161290322584
433,1994-03-01,40.645161290322584
434,1995-03-01,44.983870967741936
435,1996-03-01,38.91935483870968
436,1997-03-01,41.854838709677416
437,1998-03-01,45.38709677419355
438,1999-03-01,42.516129032258064
439,2000-03-01,47.193548387096776
440,2001-03-01,39.61290322580645
441,2002-03-01,44.145161290322584
442,2003-03-01,43.096774193548384
443,2004-03-01,43.5
444,2005-03-01,39.45161290322581
445,2006-03-01,43.08064516129032
446,2007-03-01,42.225806451612904
447,2008-03-01,42.645161290322584
448,2009-03-01,42.41935483870968
449,2010-03-01,48.193548387096776
450,2011-03-01,42.32258064516129
451,2012-03-01,50.935483870967744
452,2013-03-01,40.145161290322584
453,2014-03-01,37.66129032258065
454,2015-03-01,38.096774193548384
455,2016-03-01,48.87096774193548
456,2017-03-01,39.17741935483871
457,2018-03-01,40.145161290322584
458,2019-03-01,41.725806451612904
459,2020-03-01,48.0
460,2021-03-01,45.82258064516129
461,2022-03-01,45.29032258064516
462,1869-04-01,49.85
463,1870-04-01,50.766666666666666
464,1871-04-01,52.583333333333336
465,1872-04-01,49.666666666666664
466,1873-04-01,46.8
467,1874-04-01,40.93333333333333
468,1875-04-01,43.416666666666664
469,1876-04-01,47.266666666666666
470,1877-04-01,47.9
471,1878-04-01,53.7
472,1879-04-01,49.083333333333336
473,1880-04-01,49.61666666666667
474,1881-04-01,46.733333333333334
475,1882-04-01,47.43333333333333
476,1883-04-01,47.31666666666667
477,1884-04-01,48.03333333333333
478,1885-04-01,48.86666666666667
479,1886-04-01,53.53333333333333
480,1887-04-01,46.28333333333333
481,1888-04-01,46.0
482,1889-04-01,51.0
483,1890-04-01,49.71666666666667
484,1891-04-01,49.983333333333334
485,1892-04-01,48.95
486,1893-04-01,47.05
487,1894-04-01,49.36666666666667
488,1895-04-01,50.11666666666667
489,1896-04-01,52.766666666666666
490,1897-04-01,50.6
491,1898-04-01,47.96666666666667
492,1899-04-01,49.733333333333334
493,1900-04-01,50.38333333333333
494,1901-04-01,48.333333333333336
495,1902-04-01,50.86666666666667
496,1903-04-01,52.416666666666664
497,1904-04-01,46.8
498,1905-04-01,50.233333333333334
499,1906-04-01,52.25
500,1907-04-01,46.88333333333333
501,1908-04-01,52.46666666666667
502,1909-04-01,48.61666666666667
503,1910-04-01,55.5
504,1911-04-01,47.88333333333333
505,1912-04-01,50.35
506,1913-04-01,52.43333333333333
507,1914-04-01,47.86666666666667
508,1915-04-01,54.4
509,1916-04-01,48.35
510,1917-04-01,48.35
511,1918-04-01,50.733333333333334
512,1919-04-01,49.95
513,1920-04-01,48.06666666666667
514,1921-04-01,56.083333333333336
515,1922-04-01,51.45
516,1923-04-01,50.28333333333333
517,1924-04-01,49.083333333333336
518,1925-04-01,51.8
519,1926-04-01,47.333333333333336
520,1927-04-01,48.583333333333336
521,1928-04-01,48.31666666666667
522,1929-04-01,50.93333333333333
523,1930-04-01,48.38333333333333
524,1931-04-01,51.05
525,1932-04-01,49.0
526,1933-04-01,50.4
527,1934-04-01,50.266666666666666
528,1935-04-01,49.63333333333333
529,1936-04-01,47.78333333333333
530,1937-04-01,49.583333333333336
531,1938-04-01,53.63333333333333
532,1939-04-01,48.233333333333334
533,1940-04-01,46.75
534,1941-04-01,56.75
535,1942-04-01,53.833333333333336
536,1943-04-01,46.06666666666667
537,1944-04-01,48.85
538,1945-04-01,55.56666666666667
539,1946-04-01,50.4
540,1947-04-01,50.43333333333333
541,1948-04-01,50.96666666666667
542,1949-04-01,53.78333333333333
543,1950-04-01,48.416666666666664
544,1951-04-01,53.03333333333333
545,1952-04-01,54.96666666666667
546,1953-04-01,52.3
547,1954-04-01,53.733333333333334
548,1955-04-01,53.46666666666667
549,1956-04-01,48.21666666666667
550,1957-04-01,53.233333333333334
551,1958-04-01,52.86666666666667
552,1959-04-01,53.733333333333334
553,1960-04-01,54.0
554,1961-04-01,49.0
555,1962-04-01,53.28333333333333
556,1963-04-01,53.666666666666664
557,1964-04-01,49.68333333333333
558,1965-04-01,50.6
559,1966-04-01,49.65
560,1967-04-01,49.55
561,1968-04-01,54.96666666666667
562,1969-04-01,55.916666666666664
563,1970-04-01,52.083333333333336
564,1971-04-01,50.733333333333334
565,1972-04-01,50.11666666666667
566,1973-04-01,53.35
567,1974-04-01,55.13333333333333
568,1975-04-01,47.86666666666667
569,1976-04-01,55.0
570,1977-04-01,53.68333333333333
571,1978-04-01,51.56666666666667
572,1979-04-01,52.583333333333336
573,1980-04-01,54.516666666666666
574,1981-04-01,56.11666666666667
575,1982-04-01,51.2
576,1983-04-01,52.3
577,1984-04-01,51.88333333333333
578,1985-04-01,55.483333333333334
579,1986-04-01,54.483333333333334
580,1987-04-01,53.38333333333333
581,1988-04-01,51.15
582,1989-04-01,52.15
583,1990-04-01,53.483333333333334
584,1991-04-01,55.666666666666664
585,1992-04-01,50.5
586,1993-04-01,53.25
587,1994-04-01,55.61666666666667
588,1995-04-01,51.9
589,1996-04-01,52.21666666666667
590,1997-04-01,51.68333333333333
591,1998-04-01,53.96666666666667
592,1999-04-01,53.5
593,2000-04-01,51.0
594,2001-04-01,53.916666666666664
595,2002-04-01,56.1
596,2003-04-01,49.8
597,2004-04-01,53.56666666666667
598,2005-04-01,55.13333333333333
599,2006-04-01,55.666666666666664
600,2007-04-01,50.333333333333336
601,2008-04-01,54.95
602,2009-04-01,54.516666666666666
603,2010-04-01,57.86666666666667
604,2011-04-01,54.3
605,2012-04-01,54.766666666666666
606,2013-04-01,52.983333333333334
607,2014-04-01,52.333333333333336
608,2015-04-01,54.25
609,2016-04-01,53.333333333333336
610,2017-04-01,57.15
611,2018-04-01,49.45
612,2019-04-01,55.45
613,2020-04-01,50.35
614,2021-04-01,54.583333333333336
615,2022-04-01,52.75
616,1869-05-01,60.958333333333336
617,1870-05-01,60.87096774193548
618,1871-05-01,60.29032258064516
619,1872-05-01,61.95161290322581
620,1873-05-01,58.32258064516129
621,1874-05-01,58.29032258064516
622,1875-05-01,60.016129032258064
623,1876-05-01,60.08064516129032
624,1877-05-01,59.46774193548387
625,1878-05-01,59.306451612903224
626,1879-05-01,62.903225806451616
627,1880-05-01,67.48387096774194
628,1881-05-01,62.11290322580645
629,1882-05-01,56.096774193548384
630,1883-05-01,60.87096774193548
631,1884-05-01,60.193548387096776
632,1885-05-01,59.20967741935484
633,1886-05-01,60.37096774193548
634,1887-05-01,64.41935483870968
635,1888-05-01,58.193548387096776
636,1889-05-01,63.806451612903224
637,1890-05-01,60.75806451612903
638,1891-05-01,58.24193548387097
639,1892-05-01,59.693548387096776
640,1893-05-01,58.33870967741935
641,1894-05-01,61.37096774193548
642,1895-05-01,63.306451612903224
643,1896-05-01,67.20967741935483
644,1897-05-01,61.5
645,1898-05-01,59.145161290322584
646,1899-05-01,62.82258064516129
647,1900-05-01,59.91935483870968
648,1901-05-01,57.91935483870968
649,1902-05-01,59.403225806451616
650,1903-05-01,63.79032258064516
651,1904-05-01,64.25806451612904
652,1905-05-01,61.5
653,1906-05-01,63.32258064516129
654,1907-05-01,56.67741935483871
655,1908-05-01,63.91935483870968
656,1909-05-01,61.20967741935484
657,1910-05-01,61.67741935483871
658,1911-05-01,64.54838709677419
659,1912-05-01,62.225806451612904
660,1913-05-01,60.645161290322584
661,1914-05-01,64.51612903225806
662,1915-05-01,58.95161290322581
663,1916-05-01,61.38709677419355
664,1917-05-01,54.33870967741935
665,1918-05-01,65.29032258064517
666,1919-05-01,61.983870967741936
667,1920-05-01,58.74193548387097
668,1921-05-01,61.17741935483871
669,1922-05-01,64.58064516129032
670,1923-05-01,59.96774193548387
671,1924-05-01,57.25806451612903
672,1925-05-01,59.53225806451613
673,1926-05-01,60.064516129032256
674,1927-05-01,58.95161290322581
675,1928-05-01,59.32258064516129
676,1929-05-01,61.693548387096776
677,1930-05-01,63.854838709677416
678,1931-05-01,61.45161290322581
679,1932-05-01,62.03225806451613
680,1933-05-01,64.37096774193549
681,1934-05-01,63.66129032258065
682,1935-05-01,59.87096774193548
683,1936-05-01,64.2741935483871
684,1937-05-01,64.1774193548387
685,1938-05-01,60.774193548387096
686,1939-05-01,64.91935483870968
687,1940-05-01,60.66129032258065
688,1941-05-01,64.66129032258064
689,1942-05-01,65.29032258064517
690,1943-05-01,62.54838709677419
691,1944-05-01,66.98387096774194
692,1945-05-01,59.193548387096776
693,1946-05-01,61.91935483870968
694,1947-05-01,59.91935483870968
695,1948-05-01,60.17741935483871
696,1949-05-01,63.064516129032256
697,1950-05-01,58.74193548387097
698,1951-05-01,63.33870967741935
699,1952-05-01,60.67741935483871
700,1953-05-01,63.37096774193548
701,1954-05-01,59.806451612903224
702,1955-05-01,65.38709677419355
703,1956-05-01,58.645161290322584
704,1957-05-01,63.096774193548384
